Player,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim
Pigeonx,14,35.7%,2.2,0.4,4.1,8.9,1.1,241,76.1%,11.1,219,3.26,1.17,0.47,0.38,175,0,78,35.7%,14.3%
Piloto,14,35.7%,2.7,2.4,2.8,5,7.8,362,68.9%,22.8,521,01.07,0.31,0.14,0.23,-292,-9,-190,21.4%,0%
Pinki,8,0%,1.8,2.6,3.1,3.1,8.1,367,56.5%,26.8,521,0.96,0.3,0.19,0.1,-1179,-19,-539,12.5%,12.5%
Pinz,28,35.7%,3.1,2.6,2.4,4.8,8.7,386,68.9%,24.5,528,-,-,-,-,-,-,-,-,-
Pipibaat,14,50%,2.9,2.3,2.9,5.9,5.5,334,65%,18.3,408,1.43,0.15,0.39,0.18,26,2,44,42.9%,14.3%
Piwek,21,61.9%,3.5,4.7,2.6,4.3,8.7,437,66.6%,25,668,1.14,0.32,0.23,0.13,380,6,188,19%,4.8%
PlanB,41,31.7%,3.2,0.8,3.3,9.8,0.7,230,78.3%,8.7,191,2.95,1.18,0.38,0.49,-245,-2,-332,26.8%,14.6%
Pleata,39,59%,5.3,4.5,1.7,4.6,9.6,448,69.3%,26.3,615,1.26,0.35,0.32,0.16,6,-2,-4,23.1%,7.7%
Ploxy,14,42.9%,4,2.9,2.7,8,5,338,67.4%,14.3,331,1.23,0.12,0.32,0.14,352,-4,77,35.7%,7.1%
Plux,10,10%,0.8,0.7,6.5,4.2,1,232,61.8%,15.2,291,2.46,1.1,0.38,0.2,-584,2,-586,30%,20%
Pollu,33,18.2%,2.3,0.8,3.4,7.1,0.7,221,79.5%,9.2,182,2.45,01.05,0.31,0.42,-233,-3,-297,18.2%,18.2%
PolskiKoz,18,50%,2.2,2.1,3.2,4.9,7.3,364,49.6%,25.3,548,0.94,0.24,0.13,0.1,121,4,32,5.6%,11.1%
Poltron,14,71.4%,3,2.2,3.7,9,4.6,322,64.5%,11.6,264,1.97,0.44,0.47,0.45,35,-7,-228,35.7%,0%
Poome,14,50%,3.1,0.4,2.8,8.2,1,240,72.4%,9.9,207,3.12,01.09,0.52,0.31,-88,-2,93,35.7%,28.6%
Porcupine,2,0%,1.4,4,5,3,5.2,338,73.1%,18.3,376,01.01,0.17,0.21,0.15,-546,-2,166,50%,50%
Poss,10,60%,2.7,2.7,2.7,4.5,7.8,375,57.2%,23.1,482,1.1,0.23,0.18,0.2,-168,-5,-117,20%,0%
Postkassen,6,50%,2.3,1.5,4.8,9.5,1.9,258,61%,7.9,179,2.48,0.03,0.38,0.26,-105,-3,-45,16.7%,16.7%
Pout,17,41.2%,3.3,2.8,2.5,5.5,8.1,369,63.5%,22.9,547,-,-,-,-,-,-,-,-,-
Ppgod,29,65.5%,4.5,0.8,2.3,9.6,0.8,249,80.5%,8.7,190,-,-,-,-,-,-,-,-,-
Practice,16,56.3%,4.9,3.4,1.8,5.4,8.4,407,66.3%,26.2,555,1.13,0.31,0.22,0.15,-403,-13,-402,18.8%,0%
Praedyth,14,71.4%,6.2,5.9,1.9,6.1,8.9,458,69.8%,27.9,649,1.29,0.47,0.25,0.17,-117,-8,-111,21.4%,21.4%
Praevius,1,0%,0.2,1,6,0,4.7,264,11.1%,13.5,214,0.41,0,0.05,0.05,-4452,-68,166,0%,0%
Pretender,17,64.7%,5.2,3.8,1.5,4.2,8.9,412,55.5%,27.2,633,1.32,0.27,0.28,0.16,240,3,97,11.8%,0%
Pretty,30,63.3%,4.7,3.5,2,6,9.3,425,67.4%,28.7,663,0.99,0.28,0.17,0.11,85,6,140,20%,10%
Pridestalkr,16,43.8%,4.1,2.1,2.1,6.7,5.6,341,75.8%,18.4,445,1.27,0.23,0.25,0.22,177,8,121,12.5%,6.3%
Prime,17,70.6%,3.9,1,3,10.8,0.9,254,71%,7.6,178,2.82,01.07,0.39,0.47,87,-2,-45,52.9%,11.8%
Primo,10,30%,1.6,0.9,3.7,5,0.8,234,65.3%,11.5,208,2.32,1.16,0.34,0.53,-858,-2,-453,10%,10%
Prince,14,78.6%,7.1,6,1.4,4.1,10.3,496,66.6%,30.2,700,1.77,0.41,0.45,0.19,648,1,-148,28.6%,0%
Prismal,31,61.3%,4.4,0.9,2.6,10.5,0.8,252,78.7%,10.2,221,2.66,01.01,0.31,0.37,38,1,-286,32.3%,3.2%
PsYcraw,4,25%,5.5,1.3,1.5,7,1,239,91%,10.8,201,3.29,1.78,0.43,0.24,572,1,596,25%,25%
Puddin,9,33.3%,4.4,4.6,2,4.2,10,457,67.9%,32.8,765,1.85,0.07,0.52,0.17,-161,-7,-81,44.4%,0%
Pullbae,39,71.8%,4.4,2.9,2.1,6.4,8.7,402,63.1%,27.6,574,1.31,0.32,0.2,0.19,73,-3,110,12.8%,15.4%
Pun,13,69.2%,2.5,2.8,2.9,4.6,8,394,51.2%,22.1,468,0.97,0.05,0.15,0.19,296,6,359,15.4%,15.4%
Pyosik,14,42.9%,3.9,2.9,2.4,6.3,5.5,334,66.5%,14.2,342,1.85,0.32,0.51,0.39,235,0,65,28.6%,14.3%
Pyrka,16,93.8%,7.5,0.8,1.6,11.3,0.9,263,66.9%,8.2,199,2.79,0.84,0.3,0.3,319,1,302,37.5%,0%
QKI,8,50%,3.3,2.5,2.6,6.1,8.2,373,50.8%,21.5,479,0.84,0.13,0.18,0.05,-497,-4,-184,0%,12.5%
QTKT,14,28.6%,2.4,2.6,4.2,7.7,4.6,315,64.6%,15.5,370,1.38,0.2,0.36,0.19,174,0,9,35.7%,7.1%
QUICKTIMER,14,64.3%,6.5,1.1,2.3,13.6,0.7,262,76.7%,8.2,214,3.19,1.17,0.34,0.32,184,-2,236,28.6%,14.3%
Qats,14,28.6%,2.4,3,3.1,4.4,8.1,385,57.4%,26.2,560,1.32,0.28,0.21,0.19,-227,-7,31,7.1%,21.4%
Qing,28,28.6%,1.8,2.4,3.2,3.3,8.2,369,56.7%,25.8,506,-,-,-,-,-,-,-,-,-
Qingtian,26,65.4%,3.4,2.5,2.1,4.5,7.6,385,45%,19,453,-,-,-,-,-,-,-,-,-
Qitong,22,50%,3.1,0.6,3.4,9.9,0.7,240,71.1%,7.7,174,2.44,0.96,0.26,0.28,-4,1,-88,31.8%,9.1%
Qiuqiu,15,33.3%,3.2,1,2.5,7.1,1,231,75.9%,8.8,159,-,-,-,-,-,-,-,-,-
Qoo,12,50%,3.8,0.7,2.8,9.9,0.7,235,79%,8.6,187,2.92,1.11,0.48,0.59,-168,-8,-515,41.7%,16.7%
Quid,40,37.5%,3,3.8,2.8,4.5,9.4,423,67.4%,30.2,637,1.25,0.31,0.3,0.16,171,6,23,15%,10%
R4VEN,18,77.8%,5.2,2.2,1.6,5.9,8.2,392,51.6%,18.4,451,01.07,0.28,0.18,0.22,112,7,52,22.2%,5.6%
RAV3N,14,71.4%,6.3,5.1,2.2,8.9,9.1,457,71.3%,23.3,610,1.17,0.32,0.24,0.17,421,9,315,21.4%,21.4%
RYue,8,50%,2.1,2.5,3,3.8,7.2,377,39.4%,20.1,475,1.16,0.32,0.18,0.25,-136,-2,-168,25%,25%
Rabble,18,66.7%,3.2,2.8,3.9,9.6,5.9,352,73.4%,17.5,462,1.19,0.11,0.31,0.13,-41,7,204,22.2%,33.3%
Raedz,16,43.8%,2.1,2.1,2.9,4.3,7.7,366,47.9%,20.4,428,0.91,0.24,0.12,0.13,-385,-1,-86,6.3%,18.8%
Raes,14,50%,5.5,6.5,2.2,5.6,9.2,481,64.9%,27.6,628,1.16,0.33,0.29,0.12,627,11,92,50%,0%
